Review #,Variety,Style,Country,Stars
2180,Pho Ga Rice Noodles With Artificial Chicken Flavour,Bowl,Thailand,3
2179,Oriental Kitchen Instant Rice Vermicelli In Gravy,Pack,Thailand,5
2178,Instant Tom Yam Rice Noodles,Pack,Thailand,4
2177,Instant Rice Noodles Vegetable Flavour,Pack,Thailand,4
2176,Instant Rice Vermicelli Yentafo Tom Yam Mohfai,Pack,Thailand,5
2175,Instant Flat Noodles Clear Soup,Pack,Thailand,4
2174,Cup Rice Noodles Tom Saab Flavour,Cup,Thailand,5
2173,Instant Rice Noodles Stew Beef Flavour,Pack,Thailand,4
2172,Instant Rice Noodles Phnom Penh Style,Pack,Thailand,4
2171,Instant Flat Noodles Tom Yam Flavour,Pack,Thailand,4
2170,Ramen Noodle soup Mushroom Flavor,Pack,USA,4
2169,Vegetable Flavour Instant Noodles,Pack,Singapore,4
2168,Rice Noodle Shallot With Braised Pork Flavor,Pack,Taiwan,5
2167,Vegetable Flavour Noodles With Vegetables,Cup,Canada,3
2166,Instant Noodle Artificial Beef Flavor 7 sour Pickled Cabbage,Pack,China,4
2165,Noodles With Hot & Spicy Flavour,Cup,Australia,3
2164,Rice Noodle Chinese Mushroom With Soybean Vegetarian Braised Pork Flavor,Pack,Taiwan,5
2163,Piritto Karakuchi Tantan Udon,Bowl,Japan,4
2162,Rice Noodle Seafood Laksa Flavour,Pack,Taiwan,5
2161,Chal Bibim Myun,Pack,South Korea,5
2160,Japanese Yakisoba Umami Sauce,Bowl,Japan,5
2159,Sazon Casero Sopa Con Tomate Y Sabor Pollo,Pack,Mexico,3
2158,Chow Mein Original Flavor,Tray,Taiwan,5
2157,Artificial Mushroom Chicken Flavor Instant Noodle,Pack,China,4
2156,Chow Mein Oyster Sauce BBQ Flavor,Tray,Taiwan,2
2155,Aloe Vera Guan Mian Purple Sweet Potato Noodle With Spicy Miso Sauce,Pack,Taiwan,4
2154,Black Eyes Bean Original Noodle With Sesame Sauce,Pack,Taiwan,4
2153,Aloe Vera Guan Mian Pumpkin Noodle With Basil Sauce,Pack,Taiwan,4
2152,Black Eyes Bean Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5
2151,Aloe Vera Guan Mian Original Noodle With Sesame Sauce,Pack,Taiwan,5
2150,Black Eyes Bean Purple Sweet Potato Noodle With Spicy Miso Sauce,Pack,Taiwan,3
2149,Aloe Vera Guan Mian Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5
2148,Black Eyes Bean Pumpkin Noodles With Basil Sauce,Pack,Taiwan,5
2147,Instant Lunch Pork Flavor Ramen Noodles With Vegetables,Cup,USA,3
2146,Kun Ramen Sumo-kuchikin (Smoked Chicken),Bowl,Japan,3
2145,Tonkotsu,Cup,USA,3
2144,Lamen Sabor Picanha,Pack,Brazil,4
2143,Lemon Chicken Flavour Instant Noodles,Pack,Vietnam,3
2142,Bowl Taste Of Asia Miso Chicken Flavor Spicy Miso Ramen,Bowl,USA,4
2141,Men Shokunin Kaoruyasai Shio,Bowl,Japan,5
2140,Rice Noodle Seafood Flavour,Bowl,South Korea,5
2139,Superior Soup Instant Noodles (Mfg in Thailand),Pack,Hong Kong,4
2138,Superior Soup Instant Noodles (Mfg in Vietnam),Pack,Hong Kong,4
2137,Demae Ramen Spicy Curry Flavour Instant Noodles,Pack,Hong Kong,4
2136,Demae Ramen Roast Beef Flavour Instant Noodles,Pack,Hong Kong,4
2135,Instant Noodle Supreme Abalone And Chicken Flavour,Pack,Hong Kong,2
2134,Chicken Flavour Instant Noodle,Pack,Hong Kong,4
2133,Kimchi Chikin Ramen Donburi,Bowl,Japan,5
2132,Instant Lunch Chipotle Chicken Flavor Ramen Noodle Soup,Cup,USA,5
2131,Mee Goreng Thai Tom Yum Flavour,Pack,Singapore,4
2130,Artificial Salted Beef With Mushrooms Flavour,Pack,Hong Kong,4
2129,Hot & Spicy Dry Curry With Chives Soup,Pack,Malaysia,5
2128,Taimeiken Yousyoku Yasangatsukutta Omumen,Cup,Japan,4
2127,Noodles With Chicken & Sweet Corn Flavour,Cup,Australia,2.25
2126,Mennippon Oumi Chanpon,Bowl,Japan,5
2125,Curry Flavour Instant Noodles,Pack,Singapore,4
2124,Nissin Instant Noodles Tom Yum Seafood Creamy Flavour King Cup,Bowl,Thailand,3.5
2123,Cup Noodles Tom Yum Shrimp Sabb Flavour,Cup,Thailand,5
2122,Chilli Noodles Stir Fried Holy Basil Flavour,Pack,Thailand,5
2121,Instant Noodles Moo Manao Flavour,Pack,Thailand,4
2120,Super Tom Yum Shrimp,Cup,Thailand,3.5
2119,Cup Noodles Minced Pork Flavour,Cup,Thailand,3.5
2118,Chilli Noodles Tom Yum Shrimp Creamy Soup Flavour,Cup,Thailand,3.25
2117,Nissin Instant Noodles Shrimp Ma Nao Lui Suan Flavour King Cup,Bowl,Thailand,4
2116,Instant Noodles Tom Yum Shrimp Saab Flavour,Pack,Thailand,4
2115,Cup Noodles Moo Manao Flavour,Cup,Thailand,4
2114,Instant Noodles Minced Pork Flavour,Pack,Thailand,3.5
2113,Cup Noodles Seafood Creamy Flavour,Cup,Thailand,4
2112,Chilli Noodles Spicy Tom Yum Flavour,Pack,Thailand,4
2111,Cup Noodles Chilli Crab Flavour,Cup,Hong Kong,3.75
2110,Vegetarian Flavour Ramen Noodles,Pack,Canada,3
2109,Tuna With Shallot Flavor Noodle,Pack,Taiwan,4.3
2108,GGE Noodle Snack Wheat Crackers Original Ramen,Pack,Taiwan,1
2107,Lamen Sabor Frango Assado Com Toque De Limao,Pack,Brazil,4.5
2106,Onion Flavor Shoyu Ramen,Pack,Japan,3.5
2105,Ramen Noodle Soup Chicken Tortilla Flavor,Pack,USA,3
2104,Rice Noodle Kimchi Flavor,Bowl,South Korea,4
2103,Ramen Japanese Style Quick-Cooking Alimentary Paste With Beef Artificially Flavored Soup Base,Pack,USA,0
2102,Cup Noodles Singapore Laksa,Cup,Japan,5
2101,Pojangmacha Udon,Pack,South Korea,4
2100,Mee Goreng Original Flavour,Pack,Singapore,4
2099,Yakibuta Ramen,Bowl,Japan,4
2098,Kimchi Flavor Noodle Soup,Cup,USA,5
2097,Otentiq Cheezy Mushroom Instant Noodles (Improved Taste),Pack,Malaysia,5
2096,Seimen Noukou Toro Tonkotsu,Bowl,Japan,4
2095,Straits Kitchen Laksa,Pack,Singapore,5
2094,Champong Noodle Soup Spicy Seafood Flavor,Pack,South Korea,5
2093,Seaweed Flavour Noodle,Pack,Taiwan,2
2092,Instant Noodle Preserved Vegetable Flavour,Pack,Hong Kong,4
2091,Penang Hokkien Prawn Noodle Authentic Taste,Cup,Malaysia,5
2090,Nupasta Salmon In White Sauce Flavour Instant Noodle,Pack,Hong Kong,5
2089,Big Cup Noodles Seafood Curry Flavour,Cup,Hong Kong,5
2088,Demae Iccho Beef Flavour Instant Noodle,Bowl,Hong Kong,4
2087,Mie Goreng Indonesia Stir Noodle Original Flavour,Pack,Hong Kong,4
2086,Demae Ramen Sesame Flavour Instant Noodles,Pack,Hong Kong,5
2085,Superior Soup Instant Rice Vermicelli,Bowl,Hong Kong,5
2084,Demae Ramen Straight Noodle Kyushu Tonkotsu Instant Noodle,Pack,Hong Kong,5
2083,Taisho Fried Noodle Sesame Paste Flavour Instant Noodle,Pack,Hong Kong,5
2082,Cup Noodles Pork Chowder Flavour,Cup,Hong Kong,4
2081,Cup Mifun Spicy Beef Flavour,Cup,Hong Kong,4
2080,Non-Fried Superior Soup Noodle,Pack,Hong Kong,4
2079,Nupasta Carbonara Flavour Instant Noodle,Cup,Hong Kong,5
2078,Demae Iccho Curry Beef Flavour,Cup,Hong Kong,4
2077,Cup Noodles Big Spicy Seafood Flavour,Cup,Hong Kong,5
2076,Demae Iccho Black Garlic Oil Tonkotsu,Bowl,Hong Kong,3.75
2075,Mi Segera Mi Goreng Ayam Krispi,Pack,Indonesia,4.5
2074,Cup Noodles Sabor Pollo Habanero Y Limon Sopa Instantanea,Cup,Mexico,3.5
2073,Spicy Ramen Noodles,Pack,Canada,4
2072,Bowl Taste Of Asia Beef Flavor Sukiyaki Ramen,Bowl,USA,5
2071,Tainan Noodle Original Sauce,Pack,Taiwan,5
2070,Negi Ramen,Bowl,Japan,1.75
2069,Instant Noodle Vegetarian Flavour,Pack,Hong Kong,3.75
2068,Fusian Special Edition Ow... Ow... Spicy Cow Mi Goreng,Pack,Australia,5
2067,Fresh Jjajang,Pack,South Korea,4.5
2066,Hakata Tonkotsu Ramen,Pack,Japan,5
2065,Kung Tak Lam Vegetarian Noodle (Mushroom),Pack,Hong Kong,3
2064,Arrabiata Rice Bucatini,Pack,USA,5
2063,Pepper Noodles Vegetarian,Pack,Hong Kong,3.25
2062,Ramyon Sabor Mariscos,Pack,Mexico,3.75
2061,Dried Mix Noodles Scallop Seafood Flavoured,Tray,Hong Kong,4.25
2060,Cup Noodle Light+ Cheese Fondue,Cup,Japan,5
2059,Beef And Radish Flavour Instant Noodle,Pack,Hong Kong,2.5
2058,Instant Noodle Shrimp Tom Yam Flavoured,Pack,Thailand,3.75
2057,RapiFideo Sabor A Chile Y Limon,Cup,Mexico,3.75
2056,Garlic Pepper Reduced Sodium Ramen,Pack,USA,0
2055,Tokyo Tokunou Gyokai Tonkotsu,Bowl,Japan,5
2054,Noodles Curried Prawn Flavour,Cup,Australia,3.25
2053,Instant Lunch Sriracha Chicken Flavor Ramen Noodle Soup,Cup,USA,3.75
2052,Pop Mie Mi Instan Cup Rasa Ayam,Cup,Indonesia,3.5
2051,Artificial Pork Ribs Flavour Instant Noodle,Pack,China,3.5
2050,Penang Red Tom Yum Goong Noodle Authentic Taste,Cup,Malaysia,5
2049,Ramyon Sabor A Res,Pack,Mexico,4
2048,Kadomen Koikoku Tonkotsu,Bowl,Japan,3.8
2047,XO Sauce Noodle,Pack,Taiwan,5
2046,Perisa Asam Pedas Mi Segera,Pack,Malaysia,4
2045,Chicken Style Ramen Noodles,Pack,Canada,3.5
2044,Hello Kitty Dim Sum Noodle Japanese Soy Sauce Flavour,Cup,Hong Kong,3
2043,Malaysia Green Curry Noodle,Bowl,Malaysia,5
2042,Noodles Mi Goreng,Cup,Australia,4.3
2041,Tomato Sauce Instant Noodle,Pack,China,4.5
2040,Cup Noodles Sabor Franhp Com Requeijao,Cup,Brazil,5
2039,Yakibuta Ramen,Bowl,Japan,5
2038,Vegetarian Herbal Noodle,Pack,Malaysia,1.5
2037,Hovenia Ramen Vegetable Flavor,Pack,South Korea,3.5
2036,Hakka BBQ Sauce Noodle,Pack,Taiwan,4.25
2035,Maru Uma Curry Udon,Cup,Japan,3.5
2034,Noodles Oriental Flavour,Cup,Australia,3.25
2033,Instant Noodles Artificial Chicken & Shrimp Flavored,Pack,India,2.5
2032,Noodle King Artificial Beef Soup Flavored,Bowl,Hong Kong,3.75
2031,Otentiq Cheezy Curry Instant Noodles (Improved Taste),Pack,Malaysia,5
2030,Charumera Atyificial Tonkotsu Shouyu Flavor,Pack,Japan,3.75
2029,Instant Noodles Beef Flavour,Cup,Australia,2
2028,"Sopa Maruchan Sabor a Camaron, Limon y Habanero",Pack,Mexico,3.5
2027,Shinshu Miso Ramen,Bowl,Japan,5
2026,Penang White Curry Authentic Taste Cup,Cup,Malaysia,4.75
2025,Authentic Street Food Chow Mein,Cup,UK,2
2024,Authentic Street Food Pad Thai,Cup,UK,2.5
2023,Authentic Street Food Black Bean,Cup,UK,0
2022,Authentic Street Food Thai Red Curry,Cup,UK,3
2021,Authentic Street Food Satay,Cup,UK,5
2020,Artificial Roasted Beef,Pack,China,3.5
2019,Seabura Tonkotsu Ramen,Cup,Japan,3.75
2018,Noodle With Spicy Oyster Soup,Pack,South Korea,4
2017,Honey & Cheese Big Bowl,Bowl,South Korea,0
2016,Chicken Style Noodles With Vegetables,Cup,Canada,3.5
2015,Perisa Kari Mi Segera (Improved Taste),Pack,Malaysia,5
2014,Ghost Pepper Noodle,Pack,Taiwan,4.5
2013,Beef Style Ramen Noodles,Pack,Canada,3.5
2012,Vegetarian Instant Noodles Shiitake Flavour,Pack,Thailand,2
2011,2 Minute Laksa Flavour Noodles,Pack,Australia,2
2010,Rangers Snack Noodles Popcorn Flavour,Pack,Myanmar,3.75
2009,Oriental Noodles Soto Ajam,Cup,Netherlands,3
2008,Hot spicy Flavor Instant Vermicelli,Bowl,China,3.5
2007,Rice Fettucini Alfredo,Pack,United States,3.75
2006,Wonton Noodles Beef Flavour,Bowl,Hong Kong,3.75
2005,Hakka Spicy Barbeque Sauce,Pack,Taiwan,4.5
2004,Donbei Dashi Shoyu Yakiudon,Bowl,Japan,3.75
2003,Raoh Rich Miso Flavor,Bowl,Japan,5
2002,Cup Noodles Tom Yum Goong,Cup,Japan,3.8
2001,Cup Noodle Big Seafood Clam Chowder,Cup,Japan,4
2000,Chikin Ramen Donburi,Bowl,Japan,5
1999,Curry Udon,Cup,Japan,5
1998,Men Shokunin Shoyu,Bowl,Japan,5
1997,Cup Noodle Vegeta Buta-kyabetsu Tonkotsu,Cup,Japan,4.3
1996,Cup Noodle Pasta Style Tarako Spaghetti,Cup,Japan,4
1995,Cup Noodle Big Cheese Mexican Chilli,Cup,Japan,5
1994,Gyoretsu-no-Dekiru-Mise-no-Ramen (Shrimp Tantanmen),Bowl,Japan,5
1993,Raoh Tonkotsu,Pack,Japan,5
1992,Cup Noodle Light Plus Ratatouille,Cup,Japan,4.5
1991,Cup Noodle Milk Chikin Ramen,Cup,Japan,5
1990,Cup Noodle,Cup,Japan,5
1989,Penang White curry Noodle Authentic Taste,Pack,Malaysia,5
1988,Instant Noodles Chicken Soup Flavour,Pack,Myanmar,3.5
1987,Yokohama Walker Iekei Ramen,Bowl,Japan,4.5
1986,Quinoa Noodle With Oyster Sauce And Vegetables,Pack,Taiwan,4.25
1985,Singapore Prawn Soup La Mian,Pack,Singapore,5
1984,Chinese Tan Tan Vermicelli,Cup,Hong Kong,5
1983,Tokushima Ramen,Pack,Japan,4
1982,Assorted Pork Bone Noodle,Pack,China,4
1981,Penang Red tom Yum Goong Noodle Authentic Taste,Pack,Malaysia,5
1980,Noodles Witrh Prawn & Chicken Flavour,Cup,Australia,3.5
1979,BIG Cup Noodle Ajillo,Cup,Japan,3
1978,Nyonya Curry Laksa (Improved Taste),Pack,Malaysia,5
1977,Malaysia Penang Green Curry Vermicelli (New Package),Pack,Malaysia,5
1976,Kumamoto Spicy Ramen,Pack,Japan,4.25
1975,Soba Fried Noodles Classic,Pack,Germany,3.25
1974,Cheese Curry Ramyun,Pack,South Korea,5
1973,Cup Noodles Sabor Calabresa,Pack,Brazil,4.25
1972,Spicy Flavour Instant Mifun,Pack,Hong Kong,2.75
1971,Horse Crab Flavour Ramen,Pack,Japan,3.5
1970,Malaysia Penang Red Curry Noodle,Pack,Malaysia,5
1969,Noodle Soup Seasoned With Real Kimchi,Pack,USA,4.75
1968,Top Ramen Chicken Flavor Ramen Noodle Soup (New Packaging),Pack,USA,3.5
1967,Kinchan Ramen,Pack,Japan,4.5
1966,GGE Noodle Snack Wheat Crackers Soy Sauce Ramen,Pack,Taiwan,3.75
1965,Penang Spicy Prawn Soup Noodle Authentic Taste,Pack,Malaysia,5
1964,Instant Noodles Coconut Milk Flavour,Pack,Myanmar,5
1963,Rice Noodles Vegetable Laksa,Cup,UK,3.75
1962,Rice Noodles Chicken Pho,Cup,UK,3.5
1961,Chicken Ramen,Cup,UK,4.25
1960,Chilli Chicken Ramen,Cup,UK,4
1959,Charumera Shoyu Ramen,Pack,Japan,4
1958,Mi Goreng Bento Noodles In A Box Curry Masala Flavour,Tray,USA,4
1957,Cup Vegetarian Instant Noodles Tom Yum Flavour,Cup,Thailand,4
1956,Spicy Tomato Salsa Ramen,Cup,Japan,0
1955,Raoh Ramen Noodle Soup Umami Soy Sauce Flavor,Pack,USA,4.75
1954,Island Of Flavours Spicy Thai Chicken Instant Noodles Soup,Pack,Netherlands,2
1953,Singapore Fish Soup La Mian,Pack,Singapore,5
1952,Kung-Fu Brand Instant Oriental Noodle Soup Artificial Beef Flavor,Pack,Taiwan,3.75
1951,Cup Noodles Ramen Noodle Soup Hearty Chicken Flavor [New Package],Cup,USA,4.25
1950,Red King Crab Flavour Ramen,Pack,Japan,4
1949,Oriental Style Instant Noodles Shrimp Flavour (Tom Yum),Pack,Thailand,3.5
1948,Artificial Pickled Cabbage Fish Flavor Instant Vermicelli,Pack,China,1.5
1947,Singapore Laksa Wholegrain La Mian,Pack,Singapore,5
1946,Raoh Shio Ramen,Pack,Japan,4.75
1945,Oriental Style Instant Noodles Masala Flavour,Pack,Bangladesh,3.5
1944,GGE Noodle Snack Wheat Crackers Hot Spicy,Pack,Taiwan,5
1943,Sugomen Niigata Seabura Shoyu Ramen,Bowl,Japan,5
1942,Always Mi Goreng Perisa Sambal Udang,Pack,Malaysia,3.5
1941,Good Noodles Tandoori,Pack,Netherlands,2.5
1940,Cup Noodle Pasta Style Bolognese,Cup,Japan,5
1939,Instant Noodles Shrimp Creamy Tom Yum Flavour,Pack,Myanmar,5
1938,Donbei Kamodashi Soba,Bowl,Japan,5
1937,Chicken Soup Flavour Cup Noodles,Cup,Myanmar,3.75
1936,Rice Noodle Coconut Curry,Pack,USA,1
1935,Guanmiao Dried Noodles With Oleum Sesami,Pack,Taiwan,3.75
1934,Guanmiao Dried Noodles With Spicy Sauce,Pack,Taiwan,5
1933,Guanmiao Dried Noodles With Authentic Sauce,Pack,Taiwan,4.5
1932,Guanmiao Dried Noodles With Shallot Flavor,Pack,Taiwan,3.75
1931,Instant Noodles chicken Flavour,Pack,Hungary,3.75
1930,Island Of Flavours Lemongrass Instant Noodles Soup,Pack,Netherlands,0.25
1929,Instant Noodles Minced Pork Flavour,Pack,Cambodia,3.5
1928,Instant Noodles Oriental Style Chicken Flavour,Pack,Thailand,3
1927,Kogashi Megiiri Tonkotsu Kagoshima Ramen,Bowl,Japan,3.5
1926,Bowl Noodles Hot & Spicy Chicken Flavor Less Sodium Ramen Noodle Soup,Bowl,USA,4
1925,Juzz's Mee Creamy Chicken Flavour,Pack,Singapore,5
1924,Broad Noodle Artificial Beef Flavor,Pack,China,3.5
1923,Oriental Noodles Teriyaki,Cup,Netherlands,0.5
1922,Instant Cup Mi Kuah Rasa Baso Spesial,Cup,Indonesia,1.5
1921,Cup Noodles Ramen Noodle Soup Chicken Flavor [New Package],Cup,USA,3.5
1920,Ramen Tonkotudou Kumamoto Noodles,Pack,Japan,0.75
1919,Shiroi Chikara Mochi Udon,Bowl,Japan,4.5
1918,Instant Noodles chicken Flavour,Pack,Netherlands,3.5
1917,Mi Goreng Bento Noodles In A Box Hot Sweet & Sour Flavor,Tray,USA,0.25
1916,Soba Fried Noodles Teriyaki,Pack,Germany,3
1915,Yuzu Sesame Sauce Udon,Bowl,Japan,4.5
1914,Juzz's Mee Curry Flavour,Pack,Singapore,5
1913,Mushroom Rice Noodle Soup Bowl,Bowl,USA,0
1912,Instant Noodles Chicken Sichek Flavour,Pack,Myanmar,3.75
1911,Emergency Chikin Ramen Cup Noodle,Cup,Japan,5
1910,Chow Mein Pad Thai,Tray,USA,3
1909,Instant Noodles With Chicken Flavouring,Pack,Hungary,3.5
1908,Kuroma-yu Tonkotsu Kumamoto Ramen,Bowl,Japan,4.75
1907,Singapore Curry Wholegrain La Mian,Pack,Singapore,5
1906,Chicken Flavour Asian Style Instant Noodles,Pack,Vietnam,3.5
1905,Nuudeli Kana Nudlar Kyckling,Pack,Finland,3.5
1904,Instant Noodles Duck Flavour,Pack,Hungary,3
1903,Tonkotsu Ramen,Pack,Japan,4.5
1902,Seafood Tom Yum Sichek Flavour,Pack,Myanmar,5
1901,Juzz's Mee Original Spicy Flavour,Pack,Singapore,5
1900,Always Mi Goreng Perisa Kari Kapitan,Pack,Malaysia,5
1899,Island Of Flavours Thai Royal Shrimp Instant Noodles,Pack,Netherlands,1.5
1898,Spicy Fish Noodle,Bowl,China,3
1897,Cup Noodle Massaman Curry,Cup,Japan,3.5
1896,Instant Noodles Duck Flavour,Pack,Hungary,3.5
1895,Seimen Houjyun Koku Shoyu,Bowl,Japan,5
1894,Rangers Snack Noodles BBQ Flavour,Pack,Myanmar,2.75
1893,Cup Noodle Sio,Cup,Japan,5
1892,Cheese Ramen,Pack,South Korea,4
1891,Cup Noodles Homestyle Chicken,Cup,USA,3.5
1890,Beef Tongue Shio Mayo Ramen,Pack,Japan,4.5
1889,Rangers Snack Noodles Sour Cream Flavour,Pack,Myanmar,2.75
1888,Cup Noodles Kyushu White Flavour,Cup,Singapore,3.5
1887,Mee Poh Dry,Pack,Singapore,4.25
1886,Chicken Abalone Flavour,Bowl,Singapore,3.75
1885,Ramen Char Mee 100,Pack,Singapore,3
1884,La Ramen Spicy Mushroom Flavour Big Bowl,Bowl,Singapore,4.5
1883,Mee Goreng,Pack,Singapore,4
1882,La Ramen Spicy Lobster Hot Pot Flavour Big Bowl,Bowl,Singapore,4.75
1881,Chicken Abalone Flavour,Pack,Singapore,3.5
1880,Thai Tom Yam Flavour,Bowl,Singapore,3.75
1879,Chicken Tanmen Flavour,Pack,Singapore,3.5
1878,Extra Spicy Singapore Curry Big Bowl,Bowl,Singapore,5
1877,La Ramen Spicy Mushroom Flavour,Pack,Singapore,4.5
1876,Chicken Flavour,Pack,Singapore,3.75
1875,Tonkotsu Ramen Artificially Flavored Tonkotsu White Chicken Broth,Pack,USA,5
1874,Always Mi Goreng Perisa Thai Tom Yam,Pack,Malaysia,2.5
1873,Wei Wei A Instant Noodles Chicken Flavor,Bowl,Taiwan,0
1872,Hakata Ossyoi,Pack,Japan,5
1871,Cup Noodles Minced Pork Flavour,Cup,Thailand,3.75
1870,Instant Noodles With Beef Flavouring,Pack,Hungary,2.75
1869,Soba Fried Noodles Chili,Pack,Germany,3.5
1868,Kuroma-yu Tonkotsu Kumamoto Ramen,Bowl,Japan,4
1867,Premier Bowl Instant Noodles Stewed Pork Flavour,Bowl,Thailand,4
1866,Penang Spicy Prawn Soup Noodle,Pack,Malaysia,5
1865,Shrimp Tom Yum Flavour Cup Noodles,Cup,Myanmar,3.5
1864,Raoh Ramen Noodle Soup Umami Tonkotsu Flavor,Pack,USA,5
1863,Broad Noodle Pickled Vegetable Artificial Beef Flavor,Pack,China,0
1862,Always Mi Goreng Perisa Asli,Pack,Malaysia,3.75
1861,Oriental Noodles Groene Curry,Cup,Netherlands,0.5
1860,Cupo Noodle Pasta Style Vongole,Cup,Japan,2.75
1859,Instant Noodles chicken Green Curry Flavour,Pack,Cambodia,5
1858,Wantan Men,Bowl,Japan,5
1857,Mi Goreng Bento Noodles In A Box Shallot Teriyaki Flavor,Tray,USA,3.25
1856,Instant Cup Noodles Mi Goreng Fried Noodles,Cup,Indonesia,5
1855,Negi Man Ramen,Pack,Japan,3
1854,Chinese Kitchen Chinese Style Instant Noodles,Pack,Myanmar,3.5
1853,Instant Noodles Shrimp Flavour,Pack,Hungary,3.5
1852,Udon Japanese Style Precooked Noodles With Soup Hot & Spicy Flavor,Bowl,USA,3.25
1851,Snow Crab Flavour Shio Ramen,Pack,Japan,3.5
1850,Raoh Ramen Noodle Soup Umami Miso Flavor,Pack,USA,4.5
1849,Instant Rice Vermicelli Clear Soup Flavour,Pack,Malaysia,3.5
1848,Penang Red tom Yum Goong Noodle (New Version),Pack,Malaysia,5
1847,Oriental Noodles Hot & Spicy,Pack,Netherlands,3
1846,Chow Mein Savory Sauce And Restayrant Quality Noodles Roast Chicken Flavor ,Tray,USA,4.5
1845,Oriental Style Instant Noodles Shrimp Flavour,Pack,Bangladesh,3.25
1844,Gold Sumire Ramen,Bowl,Japan,5
1843,Sunbaked Noodles With Sesame Sauce,Pack,Taiwan,4.5
1842,Purple Sweet Potato Noodles With Taiwanese Sauce,Pack,Taiwan,5
1841,Sunbaked Noodles With Spicy Sauce,Pack,Taiwan,4
1840,Sweet Potato Noodles With Sesame Paste Sauce,Pack,Taiwan,3.25
1839,Taste Of Malaysia Penang White Curry Ramen,Pack,Malaysia,5
1838,Taste Of Malaysia Penang Asam Laksa Fried Instant Noodle,Pack,Malaysia,4.5
1837,Taste Of Malaysia Penang Hokkien Mee Ramen,Pack,Malaysia,5
1836,Taste Of Malaysia Penang White Curry Fried Instant Noodle,Pack,Malaysia,5
1835,Taste Of Malaysia Penang Asam Laksa Ramen,Pack,Malaysia,5
1834,Taste Of Malaysia Penang Hokkien Mee Fried Instant Noodle,Pack,Malaysia,5
1833,Instant Noodles With Chicken Flavour,Pack,Malaysia,3.75
1832,Instant Flat Shaped Noodles Boat Noodles Nam Tok Flavour,Pack,Thailand,3.5
1831,Plum Mayo Ramen,Pack,Japan,4
1830,Sichuan Pepper Flavor,Pack,Taiwan,4.75
1829,Hu Sesame Flavor,Pack,Taiwan,5
1828,Scallion With Sichuan Pepper  Flavor,Pack,Taiwan,5
1827,Zha Wang ((Jjawang) Noodles With Chajang Sauce,Pack,South Korea,5
1826,Instant Noodles Stewed Beef Flavour,Pack,Cambodia,3.5
1825,Broad Noodle Chilli Oil Flavor,Pack,China,4.5
1824,Soon Veggie Noodle Soup,Cup,USA,5
1823,MeeKuali spicy Fried Noodle,Pack,Malaysia,4
1822,Mi Kuah Rasa Baso Spesial,Pack,Indonesia,3.5
1821,Udon Japanese Style Pre-Cooked Noodles With Soup Beef Flavor,Bowl,USA,3.25
1820,Veggie King Buddha Jump Instant Noodles,Bowl,Taiwan,1.5
1819,Premier Bowl Instant Noodles Suki Flavour,Bowl,Thailand,5
1818,Nara Tenri Shoyu Ramen,Bowl,Japan,4.5
1817,Penang Vegetarian Prawn Instant Bowl Noodles,Bowl,Malaysia,4
1816,Asian Style Instant Noodles Artificial Beef Flavor,Bowl,Vietnam,3.25
1815,Hingya no Shio Ramen,Pack,Japan,4
1814,Island Of Flavours Tom Yum Instant Noodles Soup,Pack,Netherlands,3
1813,Soba Fried Noodles Curry,Pack,Germany,4.25
1812,Mushroom Instant Noodle,Bowl,China,4.25
1811,Oriental Noodles Oosterse Groenten,Pack,Netherlands,3.5
1810,Penang White Curry Noodle (New Version),Pack,Malaysia,5
1809,Nagahama Hakata Tonkotsu Ramen,Bowl,Japan,4.75
1808,Vegetarian Instant Cup Noodle Tofu & Shiitake Flavour,Cup,Thailand,3.5
1807,Tom Yum Goong Flavour Instant Noodle,Cup,Thailand,3.5
1806,Mi Segera Mmm... Perisa Goreng Ala Indonesia,Pack,Malaysia,3.5
1805,Oriental Style Instant Noodles Tandoori Flavour,Pack,Bangladesh,4
1804,Oriental Style Instant Noodles Shrimp Creamy Tom Yum Flavour,Pack,Hungary,4.75
1803,Vegetarian Instant Noodles Tom Yum Flavour,Pack,Thailand,4
1802,Cup Noodles Ramen Noodles Ramen Noodle Soup Beef Flavor (New Package) ,Cup,USA,3.5
1801,Spicy Artificial Fei Chang Instant Vermicelli (New Recipe),Pack,China,3.75
1800,Soup All Natural Hot & Sour,Cup,USA,0.25
1799,Spring Onion Rice Noodle Soup Bowl,Bowl,USA,2.5
1798,Instant Noodles Vegetable Flavour,Pack,Netherlands,2.75
1797,Instant Rice Vermicelli Crab Flavour,Pack,Thailand,3.5
1796,Salty Taste Chanko Noodle,Pack,Japan,4.75
1795,Kimchee Flavour Noodle Soup,Pack,Canada,0
1794,Shallot Chicken Instant Noodles,Pack,Malaysia,3
1793,Mi Segera Mmm... Perisa Asam Laksa,Pack,Malaysia,3.5
1792,Soup Spices Noodle Mee Rempahan Sup,Pack,Malaysia,3.5
1791,Tom Yam Instant Noodles,Pack,Malaysia,4.25
1790,Kimchi,Cup,Malaysia,4.5
1789,Mi Segera Mmm... Perisa Ayam Cendawan,Pack,Malaysia,3.5
1788,Curry Flavour Noodles,Cup,Malaysia,3
